date,gameId,playerName,team,opponent,nbaId,PTS,FGA,FTA,TOV,source
2002-04-23,gen_2002_20020423_CHH_ORL,Jud Buechler,ORL,CHH,146,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_BOS_DET,Kedrick Brown,BOS,DET,2208,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_CHH_ORL,Kirk Haston,CHH,ORL,2213,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-23,gen_2002_20020423_SAC_UTA,Lawrence Funderburke,SAC,UTA,1444,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-26,gen_2002_20020526_LAL_SAC,Lawrence Funderburke,SAC,LAL,1444,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_LAL_POR,Lindsey Hunter,LAL,POR,283,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_LAL_SAS,Lindsey Hunter,LAL,SAS,283,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_LAL_SAS,Lindsey Hunter,LAL,SAS,283,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-09,gen_2002_20020609_LAL_NJN,Lindsey Hunter,LAL,NJN,283,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_DAL_MIN,Marc Jackson,MIN,DAL,1531,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
